保單號,人員代號1,公司代號1,公司代號2,人員代號2
0191D000369,060925,01,01,049008
0191D000177,060925,01,01,060143
0291D000851,070149,02,02,939756
0091D001070,X00224,00,00,939756
0091D002228,X00224,00,00,049008
0091D000565,X00224,00,00,939756
0291D000937,070149,02,02,939756
0091D002594,X00224,00,00,008389
0291D000079,070220,02,02,070220
0291D000160,070149,02,02,939756
0291D000593,070149,02,02,939756
0091D000148,X00224,00,00,049008
0291D000015,070220,02,02,100200
0091D002406,X00224,00,00,049008
0091D000458,X00224,00,00,049008
0191D000041,060925,01,01,063037
0091D003431,X01007,00,00,039268
0291D000596,070149,02,02,939756
0091D000428,X00224,00,00,049008
0091D002183,X00224,00,00,049008
0091D000022,X00224,00,00,049008
0091D001655,X00224,00,00,939756
0091D001137,X00224,00,00,939756
0091D003011,X00224,00,00,049008
0091D002226,X00224,00,00,049008
0591D000436,X00457,05,05,039268
0091D001705,X00224,00,00,939756
0291D000258,070149,02,02,939756
0091D002681,X00224,00,00,939756
0891D000103,070629,08,08,992258
0291D000343,070149,02,02,939756
0091D002524,X00224,00,00,939756
0091D003289,X01007,00,00,039268
0191D000341,060925,01,01,049008
0091D002996,X00224,00,00,049008
0091D001739,X00224,00,00,939756
0091D003367,X00224,00,00,939756
0091D003432,X01007,00,00,039268
0091D002588,X00224,00,00,939756
0091D003194,X01007,00,00,039268
0091D000218,X00224,00,00,049008
0291D000106,070220,02,02,070921
0191D000177,060925,01,01,060143
0091D000067,X00224,00,00,049008
0091D002376,X00224,00,00,049008
0591D000329,X00457,05,05,039268
0391D000080,050326,03,03,049008
0091D000814,X00224,00,00,939756
0091D000568,X00224,00,00,939756
0091D002360,X00224,00,00,049008
0691D000357,007544,06,06,007935
0691D000352,007544,06,06,005533
0291D000872,070149,02,02,005576
0091D002755,X00224,00,00,049008
0091D002860,X00224,00,00,049008
0091D000146,X00224,00,00,049008
0091D003419,X00224,00,00,939756
0091D000210,X00224,00,00,049008
0291D000249,070149,02,02,939756
0591D000209,X00457,05,05,981540
0291D000356,070149,02,02,939756
0191D000072,060925,01,01,060364
0091D002992,X00224,00,00,049008
0091D001923,X00224,00,00,049008
0091D001321,X00224,00,00,939756
0191D000276,060925,01,01,049008
0091D002577,X00224,00,00,939756
0291D000124,070149,02,02,100111
0091D003593,X00224,00,00,939756
0091D003876,X01007,00,00,049010
0091D003414,X00224,00,00,939756
0691D000086,008907,06,06,049010
0091D002696,X00224,00,00,049008
0091D002230,X00224,00,00,049008
0091D000396,X00224,00,00,049008
0291D000271,070149,02,02,100111
0091D002952,X00224,00,00,049008
0191D000110,060925,01,01,049008
0091D001648,X00224,00,00,939756
0391D000079,050156,03,03,049008
0091D001829,X00224,00,00,049008
0291D000542,070149,02,02,939756
0091D001564,X00224,00,00,939756
0291D000916,070149,02,02,007102
0091D000086,X00224,00,00,049008
0291D000255,070149,02,02,939756
0091D003980,X01007,00,00,039268
0591D000008,004570,05,05,981540
0191D000114,060925,01,01,049008
0291D000040,070220,02,02,070220
